抓取时间,数据源,代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,代码_纯数字
2026-09-21 09:34:19,新浪,sh600584,长电科技,73.01,0.01,0.014,73.0,73.01,73.0,73.1,73.35,72.38,14727457.0,1074420888.0,09:33:29,600584
2026-09-21 09:34:19,新浪,sh603019,中科曙光,84.73,0.43,0.51,84.72,84.73,84.3,84.62,84.98,84.55,1692962.0,143424971.0,09:33:43,603019
2026-09-21 09:34:19,新浪,sh603083,剑桥科技,228.32,0.34,0.149,228.32,228.36,227.98,230.0,232.0,227.0,2010100.0,460244538.0,09:33:39,603083
2026-09-21 09:34:19,新浪,sh603893,瑞芯微,193.0,2.96,1.558,192.99,193.0,190.04,190.04,193.0,190.04,747677.0,143387855.0,09:33:39,603893
2026-09-21 09:34:19,新浪,sz000988,华工科技,109.36,1.56,1.447,109.33,109.36,107.8,110.0,110.69,108.91,5964127.0,654358627.0,09:34:00,000988
2026-09-21 09:34:19,新浪,sz001309,德明利,424.0,10.91,2.641,424.0,424.4,413.09,421.0,424.85,418.01,1317079.0,556032358.0,09:33:54,001309
2026-09-21 09:34:19,新浪,sz002008,大族激光,100.2,0.6,0.602,100.15,100.2,99.6,99.67,100.7,98.67,4978100.0,496462161.0,09:34:00,002008
2026-09-21 09:34:19,新浪,sz002156,通富微电,61.47,0.09,0.147,61.47,61.48,61.38,61.9,61.98,61.2,10885255.0,670230853.0,09:34:00,002156
2026-09-21 09:34:19,新浪,sz002222,福晶科技,70.02,0.32,0.459,70.0,70.02,69.7,69.88,70.65,69.8,1992591.0,139501470.0,09:33:57,002222
2026-09-21 09:34:19,新浪,sz002273,水晶光电,25.78,0.31,1.217,25.77,25.78,25.47,25.6,25.81,25.58,2121142.0,54508446.0,09:34:00,002273
2026-09-21 09:34:19,新浪,sz002281,光迅科技,196.69,1.29,0.66,196.68,196.69,195.4,198.0,199.48,195.1,3118567.0,614906820.0,09:34:00,002281
2026-09-21 09:34:19,新浪,sz002384,东山精密,199.42,3.27,1.667,199.42,199.49,196.15,197.0,200.18,196.66,5036677.0,996811724.0,09:34:00,002384
2026-09-21 09:34:19,新浪,sz002463,沪电股份,126.6,3.1,2.51,126.55,126.56,123.5,125.72,127.36,124.63,5137660.0,648725068.0,09:33:57,002463
2026-09-21 09:34:19,新浪,sz002475,立讯精密,54.62,0.52,0.961,54.6,54.62,54.1,54.63,54.99,54.26,6584627.0,360197324.0,09:33:57,002475
2026-09-21 09:34:19,新浪,sz002484,江海股份,62.23,0.75,1.22,62.23,62.3,61.48,62.46,62.49,61.62,3814296.0,237055321.0,09:33:57,002484
2026-09-21 09:34:19,新浪,sz002709,天赐材料,33.56,0.2,0.6,33.55,33.56,33.36,33.37,33.64,33.35,3085105.0,103302467.0,09:34:03,002709
2026-09-21 09:34:19,新浪,sz002837,英维克,63.46,0.18,0.284,63.44,63.46,63.28,63.5,63.65,63.2,2885126.0,182962879.0,09:34:00,002837
2026-09-21 09:34:19,新浪,sz300260,新莱应材,64.0,-0.27,-0.42,63.93,64.0,64.27,63.4,64.3,63.25,2216200.0,141165987.0,09:34:03,300260
2026-09-21 09:34:19,新浪,sz300274,阳光电源,88.1,0.85,0.974,88.1,88.14,87.25,87.9,88.5,86.7,7353632.0,644647376.0,09:34:06,300274
2026-09-21 09:34:19,新浪,sz300394,天孚通信,285.9,1.24,0.436,285.88,285.99,284.66,286.17,290.95,284.0,3596532.0,1031111553.0,09:34:03,300394
2026-09-21 09:34:19,新浪,sz300395,菲利华,94.92,1.54,1.649,94.92,95.02,93.38,94.0,95.36,93.9,1942606.0,183638295.0,09:34:03,300395
2026-09-21 09:34:19,新浪,sz300475,香农芯创,186.66,12.34,7.079,186.61,186.66,174.32,177.18,186.66,176.66,6359368.0,1161624512.0,09:34:03,300475
2026-09-21 09:34:19,新浪,sz300499,高澜股份,38.0,0.28,0.742,37.91,38.02,37.72,37.35,38.12,37.11,3107238.0,116851733.0,09:34:03,300499
2026-09-21 09:34:19,新浪,sz300502,新易盛,463.09,18.09,4.065,463.08,463.37,445.0,455.04,467.33,455.04,5750923.0,2659976328.0,09:34:03,300502
2026-09-21 09:34:19,新浪,sz300570,太辰光,225.07,-4.28,-1.866,225.07,225.24,229.35,228.25,230.0,222.05,3741275.0,842225226.0,09:34:03,300570
2026-09-21 09:34:19,新浪,sz300602,飞荣达,39.62,0.54,1.382,39.62,39.64,39.08,39.32,39.8,39.1,1576805.0,62304332.0,09:34:03,300602
2026-09-21 09:34:19,新浪,sz300666,江丰电子,261.4,0.96,0.369,261.39,261.4,260.44,262.0,262.7,258.24,976785.0,254826092.0,09:34:06,300666
2026-09-21 09:34:19,新浪,sz301308,江波龙,355.43,8.47,2.441,355.05,355.44,346.96,350.4,355.9,350.4,1321713.0,466531141.0,09:34:09,301308
