抓取时间,数据源,代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,代码_纯数字
2026-09-17 09:33:48,新浪,sh600584,长电科技,69.78,0.23,0.331,69.78,69.79,69.55,69.0,70.31,68.86,6139763.0,427088607.0,09:33:10,600584
2026-09-17 09:33:48,新浪,sh603019,中科曙光,83.38,0.08,0.096,83.33,83.38,83.3,82.52,83.38,82.5,1568100.0,130040620.0,09:33:08,603019
2026-09-17 09:33:48,新浪,sh603083,剑桥科技,224.8,1.17,0.523,224.8,224.9,223.63,225.0,228.0,224.08,2308637.0,521947947.0,09:33:11,603083
2026-09-17 09:33:48,新浪,sh603893,瑞芯微,181.72,1.39,0.771,181.79,181.8,180.33,178.52,181.83,178.52,471850.0,85067293.0,09:33:14,603893
2026-09-17 09:33:48,新浪,sz000988,华工科技,107.3,1.32,1.246,107.28,107.3,105.98,106.93,108.58,106.06,6673983.0,717598652.0,09:33:21,000988
2026-09-17 09:33:48,新浪,sz001309,德明利,402.0,1.0,0.249,401.66,402.0,401.0,397.25,402.8,397.1,727327.0,291173751.0,09:33:21,001309
2026-09-17 09:33:48,新浪,sz002008,大族激光,96.55,1.01,1.057,96.55,96.56,95.54,95.61,96.93,95.61,3016806.0,290581887.0,09:33:21,002008
2026-09-17 09:33:48,新浪,sz002156,通富微电,59.27,0.06,0.101,59.26,59.27,59.21,58.8,59.54,58.8,4482546.0,265071785.0,09:33:24,002156
2026-09-17 09:33:48,新浪,sz002222,福晶科技,69.04,0.45,0.656,69.02,69.04,68.59,68.34,69.6,68.18,4284290.0,295365161.0,09:33:27,002222
2026-09-17 09:33:48,新浪,sz002273,水晶光电,25.02,0.34,1.378,25.01,25.02,24.68,24.49,25.04,24.49,2278801.0,56543163.0,09:33:27,002273
2026-09-17 09:33:48,新浪,sz002281,光迅科技,191.95,6.74,3.639,191.95,192.0,185.21,188.0,195.21,188.0,11014788.0,2107737668.0,09:33:27,002281
2026-09-17 09:33:48,新浪,sz002384,东山精密,192.0,0.0,0.0,191.9,191.98,192.0,192.0,193.45,190.51,3798700.0,729237494.0,09:33:27,002384
2026-09-17 09:33:48,新浪,sz002463,沪电股份,128.14,0.34,0.266,128.13,128.16,127.8,127.8,128.58,127.61,2855091.0,365836366.0,09:33:24,002463
2026-09-17 09:33:48,新浪,sz002475,立讯精密,52.7,-0.19,-0.359,52.7,52.76,52.89,52.39,52.82,52.37,4515300.0,237346965.0,09:33:24,002475
2026-09-17 09:33:48,新浪,sz002484,江海股份,61.32,1.04,1.725,61.25,61.32,60.28,60.15,61.9,60.14,3323828.0,203149818.0,09:33:24,002484
2026-09-17 09:33:48,新浪,sz002709,天赐材料,33.29,0.19,0.574,33.29,33.3,33.1,32.88,33.34,32.72,2609225.0,86252892.0,09:33:33,002709
2026-09-17 09:33:48,新浪,sz002837,英维克,62.76,0.73,1.177,62.73,62.76,62.03,61.7,63.11,61.51,3224203.0,201494661.0,09:33:24,002837
2026-09-17 09:33:48,新浪,sz300260,新莱应材,59.9,0.22,0.369,59.9,59.92,59.68,59.47,60.32,59.05,1586330.0,95038774.0,09:33:27,300260
2026-09-17 09:33:48,新浪,sz300274,阳光电源,85.25,0.07,0.082,85.24,85.33,85.18,84.56,85.6,84.06,2911061.0,246929191.0,09:33:33,300274
2026-09-17 09:33:48,新浪,sz300394,天孚通信,274.41,5.92,2.205,274.04,274.5,268.49,268.54,274.94,268.54,3732247.0,1016642635.0,09:33:30,300394
2026-09-17 09:33:48,新浪,sz300395,菲利华,100.93,2.42,2.457,100.9,100.93,98.51,99.0,101.77,99.0,2642675.0,266267513.0,09:33:30,300395
2026-09-17 09:33:48,新浪,sz300475,香农芯创,167.43,1.36,0.819,167.43,167.46,166.07,164.0,167.5,163.98,1701367.0,282237671.0,09:33:36,300475
2026-09-17 09:33:48,新浪,sz300499,高澜股份,38.4,0.22,0.576,38.36,38.44,38.18,38.6,39.51,38.36,4806783.0,187422234.0,09:33:36,300499
2026-09-17 09:33:48,新浪,sz300502,新易盛,428.61,4.92,1.161,427.71,428.59,423.69,421.0,428.99,420.14,3158932.0,1341997210.0,09:33:36,300502
2026-09-17 09:33:48,新浪,sz300570,太辰光,207.83,1.44,0.698,207.83,207.91,206.39,207.06,212.98,206.09,2150932.0,450223023.0,09:33:30,300570
2026-09-17 09:33:48,新浪,sz300602,飞荣达,39.17,0.42,1.084,39.14,39.17,38.75,38.64,39.7,38.44,2128955.0,83573220.0,09:33:30,300602
2026-09-17 09:33:48,新浪,sz300666,江丰电子,252.35,-0.48,-0.19,252.32,252.35,252.83,250.78,253.43,249.8,808771.0,203601394.0,09:33:36,300666
2026-09-17 09:33:48,新浪,sz301308,江波龙,339.52,0.56,0.165,339.51,339.88,338.96,336.0,340.49,335.12,522539.0,176694824.0,09:33:33,301308
