抓取时间,数据源,代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,代码_纯数字
2026-09-23 09:33:32,新浪,sh600584,长电科技,71.76,-0.48,-0.664,71.74,71.77,72.24,72.4,72.4,71.51,3995759.0,287296795.0,09:32:48,600584
2026-09-23 09:33:32,新浪,sh603019,中科曙光,84.4,-0.27,-0.319,84.38,84.4,84.67,84.36,84.67,84.15,1197240.0,101091195.0,09:32:51,603019
2026-09-23 09:33:32,新浪,sh603083,剑桥科技,217.98,-1.02,-0.466,217.98,218.0,219.0,221.0,221.18,216.66,916829.0,200723107.0,09:32:49,603083
2026-09-23 09:33:32,新浪,sh603893,瑞芯微,220.0,2.2,1.01,219.98,220.0,217.8,218.79,221.9,215.81,3893165.0,850247365.0,09:32:52,603893
2026-09-23 09:33:32,新浪,sz000988,华工科技,107.15,0.06,0.056,107.09,107.14,107.09,107.14,107.5,106.53,2129571.0,227926639.0,09:33:06,000988
2026-09-23 09:33:32,新浪,sz001309,德明利,415.5,3.93,0.955,415.49,415.77,411.57,419.01,419.8,414.0,731474.0,304756022.0,09:33:03,001309
2026-09-23 09:33:32,新浪,sz002008,大族激光,95.38,1.12,1.188,95.38,95.39,94.26,94.73,95.38,93.93,2492612.0,235726012.0,09:33:06,002008
2026-09-23 09:33:32,新浪,sz002156,通富微电,63.88,0.36,0.567,63.75,63.88,63.52,63.56,63.92,63.31,5416434.0,344564582.0,09:33:06,002156
2026-09-23 09:33:32,新浪,sz002222,福晶科技,70.25,-0.9,-1.265,70.24,70.25,71.15,71.43,71.85,69.8,2151357.0,152051268.0,09:33:09,002222
2026-09-23 09:33:32,新浪,sz002273,水晶光电,25.98,0.13,0.503,25.96,25.98,25.85,25.86,25.99,25.7,1313000.0,33958186.0,09:33:15,002273
2026-09-23 09:33:32,新浪,sz002281,光迅科技,189.91,-0.46,-0.242,189.9,189.92,190.37,192.75,192.75,188.9,1283500.0,244012615.0,09:33:15,002281
2026-09-23 09:33:32,新浪,sz002384,东山精密,197.22,-0.9,-0.454,197.16,197.22,198.12,197.01,198.56,196.23,3289975.0,648941297.0,09:33:06,002384
2026-09-23 09:33:32,新浪,sz002463,沪电股份,126.03,0.89,0.711,126.03,126.04,125.14,124.66,126.17,124.11,1889570.0,236921738.0,09:33:15,002463
2026-09-23 09:33:32,新浪,sz002475,立讯精密,54.75,-0.09,-0.164,54.72,54.77,54.84,54.9,55.0,54.6,2575840.0,141209450.0,09:33:15,002475
2026-09-23 09:33:32,新浪,sz002484,江海股份,61.38,0.4,0.656,61.4,61.44,60.98,60.85,61.49,60.53,1866242.0,113899440.0,09:33:15,002484
2026-09-23 09:33:32,新浪,sz002709,天赐材料,33.09,-0.22,-0.66,33.08,33.09,33.31,33.13,33.26,33.06,1561900.0,51755243.0,09:33:06,002709
2026-09-23 09:33:32,新浪,sz002837,英维克,62.05,0.53,0.862,62.05,62.06,61.52,61.51,62.33,61.5,1621825.0,100412208.0,09:33:15,002837
2026-09-23 09:33:32,新浪,sz300260,新莱应材,63.9,0.56,0.884,63.86,63.9,63.34,63.72,64.0,62.88,858000.0,54452872.0,09:33:15,300260
2026-09-23 09:33:32,新浪,sz300274,阳光电源,88.08,-0.12,-0.136,87.99,88.07,88.2,88.0,88.58,87.65,2286233.0,201303070.0,09:33:15,300274
2026-09-23 09:33:32,新浪,sz300394,天孚通信,274.61,-1.23,-0.446,274.22,274.61,275.84,277.0,278.0,273.5,1237566.0,340608585.0,09:33:12,300394
2026-09-23 09:33:32,新浪,sz300395,菲利华,98.6,1.52,1.566,98.46,98.6,97.08,96.08,99.55,95.94,2408240.0,236597852.0,09:33:12,300395
2026-09-23 09:33:32,新浪,sz300475,香农芯创,182.58,1.38,0.762,182.5,182.63,181.2,183.8,185.28,182.0,2180411.0,400454929.0,09:33:12,300475
2026-09-23 09:33:32,新浪,sz300499,高澜股份,37.09,0.79,2.176,37.08,37.1,36.3,36.42,37.2,36.42,2988900.0,110328927.0,09:33:12,300499
2026-09-23 09:33:32,新浪,sz300502,新易盛,455.2,0.2,0.044,455.0,455.2,455.0,460.13,462.0,453.83,1891415.0,867078353.0,09:33:12,300502
2026-09-23 09:33:32,新浪,sz300570,太辰光,225.63,-1.83,-0.805,225.63,225.92,227.46,227.05,228.88,224.25,957768.0,216555285.0,09:33:15,300570
2026-09-23 09:33:32,新浪,sz300602,飞荣达,39.33,0.45,1.157,39.33,39.37,38.88,38.88,39.53,38.6,1134901.0,44476137.0,09:33:15,300602
2026-09-23 09:33:32,新浪,sz300666,江丰电子,251.96,2.35,0.941,251.72,251.97,249.61,252.69,253.0,251.22,433800.0,109462078.0,09:33:15,300666
2026-09-23 09:33:32,新浪,sz301308,江波龙,351.63,3.36,0.965,351.63,351.8,348.27,353.0,353.98,350.01,795510.0,280092288.0,09:33:27,301308
