抓取时间,数据源,代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,代码_纯数字
2026-09-14 23:14:35,新浪,sh600584,长电科技,66.33,-1.41,-2.081,66.32,66.33,67.74,66.8,67.37,65.57,45855158.0,3044906726.0,15:34:59,600584
2026-09-14 23:14:35,新浪,sh603019,中科曙光,81.97,-0.28,-0.34,81.96,81.97,82.25,81.6,83.1,81.03,16775846.0,1377242535.0,15:34:59,603019
2026-09-14 23:14:35,新浪,sh603083,剑桥科技,218.88,-5.58,-2.486,218.88,218.89,224.46,213.0,224.38,207.18,20175377.0,4380821720.0,15:34:59,603083
2026-09-14 23:14:35,新浪,sh603893,瑞芯微,178.75,-1.55,-0.86,178.75,178.76,180.3,177.9,181.71,176.86,5750298.0,1029678605.0,15:34:59,603893
2026-09-14 23:14:35,新浪,sz000988,华工科技,100.0,-3.88,-3.735,100.0,100.01,103.88,101.97,102.99,99.6,41618276.0,4195072385.0,15:36:00,000988
2026-09-14 23:14:35,新浪,sz001309,德明利,387.9,-14.83,-3.682,387.9,387.92,402.73,393.0,395.7,387.01,8904668.0,3474449619.0,15:35:15,001309
2026-09-14 23:14:35,新浪,sz002008,大族激光,92.28,-0.57,-0.614,92.28,92.29,92.85,91.01,93.45,88.71,27604671.0,2527904812.0,15:35:45,002008
2026-09-14 23:14:35,新浪,sz002156,通富微电,56.78,-1.22,-2.103,56.78,56.79,58.0,57.3,57.88,56.33,37374315.0,2131515848.0,15:35:15,002156
2026-09-14 23:14:35,新浪,sz002222,福晶科技,64.57,-0.35,-0.539,64.56,64.57,64.92,63.84,65.56,62.28,14550123.0,933445686.0,15:35:30,002222
2026-09-14 23:14:35,新浪,sz002273,水晶光电,24.46,-0.21,-0.851,24.46,24.47,24.67,24.47,24.73,24.12,19920643.0,486374522.0,15:35:30,002273
2026-09-14 23:14:35,新浪,sz002281,光迅科技,171.81,-5.55,-3.129,171.81,171.82,177.36,172.54,176.5,169.0,21660296.0,3734004359.0,15:35:15,002281
2026-09-14 23:14:35,新浪,sz002384,东山精密,185.11,-9.31,-4.789,185.11,185.12,194.42,187.9,191.34,183.53,56276945.0,10497140870.0,15:35:30,002384
2026-09-14 23:14:35,新浪,sz002463,沪电股份,125.7,-2.55,-1.988,125.7,125.71,128.25,122.28,128.49,122.25,35180629.0,4425811350.0,15:35:45,002463
2026-09-14 23:14:35,新浪,sz002475,立讯精密,52.78,-2.61,-4.712,52.78,52.79,55.39,54.49,54.89,52.6,120543642.0,6420301812.0,15:35:15,002475
2026-09-14 23:14:35,新浪,sz002484,江海股份,58.13,0.11,0.19,58.13,58.14,58.02,56.11,58.7,55.16,30638039.0,1760197507.0,15:35:15,002484
2026-09-14 23:14:35,新浪,sz002709,天赐材料,33.04,0.73,2.259,33.04,33.05,32.31,32.0,33.63,31.94,39992685.0,1319834709.0,15:35:15,002709
2026-09-14 23:14:35,新浪,sz002837,英维克,60.01,-0.54,-0.892,60.01,60.02,60.55,60.26,61.18,58.68,28439468.0,1700266351.0,15:35:45,002837
2026-09-14 23:14:35,新浪,sz300260,新莱应材,53.55,1.51,2.902,53.55,53.56,52.04,51.9,54.08,50.6,8848530.0,467863898.0,15:35:45,300260
2026-09-14 23:14:35,新浪,sz300274,阳光电源,84.98,0.58,0.687,84.98,84.99,84.4,86.0,87.25,84.35,41683309.0,3566787140.0,15:35:45,300274
2026-09-14 23:14:35,新浪,sz300394,天孚通信,256.96,-5.0,-1.909,256.96,256.97,261.96,254.65,267.58,250.01,32658302.0,8420705689.0,15:35:30,300394
2026-09-14 23:14:35,新浪,sz300395,菲利华,95.0,-1.09,-1.134,95.0,95.01,96.09,94.08,96.69,93.0,18910969.0,1799281005.0,15:35:45,300395
2026-09-14 23:14:35,新浪,sz300475,香农芯创,161.38,-6.27,-3.74,161.37,161.38,167.65,162.02,165.99,158.34,20319182.0,3285801841.0,15:35:30,300475
2026-09-14 23:14:35,新浪,sz300499,高澜股份,36.7,1.8,5.158,36.7,36.71,34.9,33.92,36.89,33.52,39610995.0,1411341848.0,15:35:15,300499
2026-09-14 23:14:35,新浪,sz300502,新易盛,401.9,-21.1,-4.988,401.9,401.91,423.0,410.3,411.91,398.0,32209314.0,13037199179.0,15:35:00,300502
2026-09-14 23:14:35,新浪,sz300570,太辰光,198.3,-2.56,-1.275,198.26,198.3,200.86,195.0,203.56,192.1,12019969.0,2376845141.0,15:35:15,300570
2026-09-14 23:14:35,新浪,sz300602,飞荣达,37.56,0.79,2.148,37.56,37.57,36.77,36.31,37.86,35.6,18363629.0,681506836.0,15:35:00,300602
2026-09-14 23:14:35,新浪,sz300666,江丰电子,237.1,6.64,2.881,237.1,237.11,230.46,225.0,239.35,222.22,9584104.0,2227582763.0,15:35:30,300666
2026-09-14 23:14:35,新浪,sz301308,江波龙,331.01,-8.54,-2.515,331.0,331.01,339.55,333.0,336.72,330.0,6440970.0,2140719254.0,15:35:45,301308
