抓取时间,数据源,代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,代码_纯数字
2026-09-16 09:32:59,新浪,sh600584,长电科技,66.7,-0.16,-0.239,66.68,66.7,66.86,66.91,67.5,66.66,2232400.0,149561277.0,09:32:12,600584
2026-09-16 09:32:59,新浪,sh603019,中科曙光,81.71,-0.35,-0.427,81.69,81.73,82.06,81.95,82.12,81.58,535800.0,43860152.0,09:32:25,603019
2026-09-16 09:32:59,新浪,sh603083,剑桥科技,217.6,1.2,0.555,217.57,217.6,216.4,219.86,219.97,216.41,824900.0,179763559.0,09:32:22,603083
2026-09-16 09:32:59,新浪,sh603893,瑞芯微,177.4,0.2,0.113,177.33,177.43,177.2,177.1,178.5,177.1,204760.0,36351781.0,09:32:22,603893
2026-09-16 09:32:59,新浪,sz000988,华工科技,101.21,1.01,1.008,101.21,101.23,100.2,100.2,101.25,99.97,1667544.0,167527034.0,09:32:36,000988
2026-09-16 09:32:59,新浪,sz001309,德明利,383.8,-2.18,-0.565,383.71,383.94,385.98,383.55,387.0,382.55,348982.0,134116719.0,09:32:39,001309
2026-09-16 09:32:59,新浪,sz002008,大族激光,93.58,-0.02,-0.021,93.56,93.58,93.6,93.66,94.38,93.05,1441066.0,134824904.0,09:32:36,002008
2026-09-16 09:32:59,新浪,sz002156,通富微电,57.15,-0.16,-0.279,57.12,57.15,57.31,57.38,57.58,56.91,1900885.0,108845436.0,09:32:39,002156
2026-09-16 09:32:59,新浪,sz002222,福晶科技,63.85,0.39,0.615,63.85,63.88,63.46,63.49,63.88,63.13,511779.0,32480608.0,09:32:39,002222
2026-09-16 09:32:59,新浪,sz002273,水晶光电,23.88,-0.03,-0.125,23.87,23.88,23.91,23.87,23.97,23.8,784000.0,18719001.0,09:32:36,002273
2026-09-16 09:32:59,新浪,sz002281,光迅科技,171.09,2.72,1.615,171.03,171.09,168.37,169.0,171.09,168.0,1463603.0,248275319.0,09:32:36,002281
2026-09-16 09:32:59,新浪,sz002384,东山精密,183.63,0.81,0.443,183.63,183.67,182.82,183.01,184.0,182.89,1727860.0,316805031.0,09:32:42,002384
2026-09-16 09:32:59,新浪,sz002463,沪电股份,125.43,-0.39,-0.31,125.42,125.43,125.82,126.49,126.97,124.9,1560400.0,196475564.0,09:32:36,002463
2026-09-16 09:32:59,新浪,sz002475,立讯精密,51.08,-0.55,-1.065,51.07,51.08,51.63,51.6,51.6,51.07,2712614.0,139135542.0,09:32:36,002475
2026-09-16 09:32:59,新浪,sz002484,江海股份,58.25,-0.64,-1.087,58.22,58.25,58.89,58.78,59.2,58.01,1600400.0,93576162.0,09:32:36,002484
2026-09-16 09:32:59,新浪,sz002709,天赐材料,32.39,-0.4,-1.22,32.38,32.39,32.79,32.89,32.98,32.33,1825000.0,59659304.0,09:32:39,002709
2026-09-16 09:32:59,新浪,sz002837,英维克,59.72,-0.12,-0.201,59.7,59.72,59.84,59.86,60.33,59.52,1050170.0,62837681.0,09:32:39,002837
2026-09-16 09:32:59,新浪,sz300260,新莱应材,55.28,-0.39,-0.701,55.2,55.26,55.67,55.73,56.38,55.08,589300.0,32740961.0,09:32:39,300260
2026-09-16 09:32:59,新浪,sz300274,阳光电源,84.29,-0.09,-0.107,84.26,84.31,84.38,85.18,85.18,84.06,2896109.0,244980490.0,09:32:45,300274
2026-09-16 09:32:59,新浪,sz300394,天孚通信,259.58,2.2,0.855,259.52,259.59,257.38,258.61,259.98,257.38,1109357.0,286900372.0,09:32:42,300394
2026-09-16 09:32:59,新浪,sz300395,菲利华,95.7,-0.78,-0.808,95.7,95.77,96.48,96.72,97.17,95.2,982900.0,94525313.0,09:32:42,300395
2026-09-16 09:32:59,新浪,sz300475,香农芯创,160.0,-1.67,-1.033,159.98,160.08,161.67,161.67,161.99,159.32,698386.0,112112396.0,09:32:42,300475
2026-09-16 09:32:59,新浪,sz300499,高澜股份,37.15,-0.71,-1.875,37.14,37.15,37.86,37.43,37.8,37.11,2071940.0,77262826.0,09:32:42,300499
2026-09-16 09:32:59,新浪,sz300502,新易盛,400.9,3.89,0.98,400.88,400.9,397.01,399.1,402.98,399.0,1086720.0,435357731.0,09:32:42,300502
2026-09-16 09:32:59,新浪,sz300570,太辰光,197.79,3.4,1.749,197.77,197.79,194.39,193.97,198.13,193.36,759692.0,148683992.0,09:32:42,300570
2026-09-16 09:32:59,新浪,sz300602,飞荣达,37.0,-0.23,-0.618,36.98,36.99,37.23,37.45,37.45,36.9,610316.0,22670636.0,09:32:42,300602
2026-09-16 09:32:59,新浪,sz300666,江丰电子,243.17,-1.54,-0.629,243.16,243.17,244.71,246.01,246.5,242.0,688600.0,168347504.0,09:32:48,300666
2026-09-16 09:32:59,新浪,sz301308,江波龙,327.97,-0.53,-0.161,327.9,328.01,328.5,327.45,329.99,327.45,317500.0,104313637.0,09:32:51,301308
