抓取时间,数据源,代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,代码_纯数字
2026-09-18 09:32:25,新浪,sh600584,长电科技,69.57,1.82,2.686,69.5,69.57,67.75,69.1,69.74,69.1,4635305.0,321858936.0,09:31:37,600584
2026-09-18 09:32:25,新浪,sh603019,中科曙光,83.57,0.89,1.076,83.57,83.6,82.68,83.49,83.69,83.45,1095031.0,91488357.0,09:31:43,603019
2026-09-18 09:32:25,新浪,sh603083,剑桥科技,223.32,4.29,1.959,223.32,223.34,219.03,223.41,225.0,222.0,1685003.0,376602103.0,09:31:47,603083
2026-09-18 09:32:25,新浪,sh603893,瑞芯微,185.32,4.11,2.268,185.25,185.63,181.21,183.6,186.21,183.6,610100.0,112837937.0,09:31:50,603893
2026-09-18 09:32:25,新浪,sz000988,华工科技,108.52,2.74,2.59,108.51,108.52,105.78,109.78,110.0,108.1,5793960.0,634029879.0,09:31:51,000988
2026-09-18 09:32:25,新浪,sz001309,德明利,406.89,9.96,2.509,406.89,407.0,396.93,408.11,409.0,405.11,698177.0,284666767.0,09:31:54,001309
2026-09-18 09:32:25,新浪,sz002008,大族激光,96.19,1.38,1.456,96.12,96.19,94.81,97.03,97.77,96.1,2388396.0,231672265.0,09:32:03,002008
2026-09-18 09:32:25,新浪,sz002156,通富微电,59.69,1.38,2.367,59.69,59.7,58.31,59.7,59.9,59.67,4753200.0,284019467.0,09:32:00,002156
2026-09-18 09:32:25,新浪,sz002222,福晶科技,69.17,0.47,0.684,69.1,69.17,68.7,69.69,69.8,68.8,1386917.0,96143846.0,09:32:00,002222
2026-09-18 09:32:25,新浪,sz002273,水晶光电,24.86,0.29,1.18,24.85,24.86,24.57,25.0,25.03,24.75,1478562.0,36822837.0,09:32:00,002273
2026-09-18 09:32:25,新浪,sz002281,光迅科技,191.5,0.28,0.146,191.25,191.37,191.22,193.99,195.0,190.68,3751804.0,723916714.0,09:32:00,002281
2026-09-18 09:32:25,新浪,sz002384,东山精密,195.47,1.94,1.002,195.03,195.47,193.53,197.0,198.3,195.01,4033300.0,792611185.0,09:32:00,002384
2026-09-18 09:32:25,新浪,sz002463,沪电股份,124.3,0.82,0.664,124.3,124.31,123.48,126.2,126.66,124.3,4235200.0,532652831.0,09:32:00,002463
2026-09-18 09:32:25,新浪,sz002475,立讯精密,53.02,0.89,1.707,53.0,53.02,52.13,52.99,53.28,52.91,4969971.0,263773619.0,09:32:00,002475
2026-09-18 09:32:25,新浪,sz002484,江海股份,60.7,0.64,1.066,60.69,60.73,60.06,61.31,61.4,60.67,2231600.0,136405444.0,09:32:00,002484
2026-09-18 09:32:25,新浪,sz002709,天赐材料,33.27,0.39,1.186,33.27,33.28,32.88,33.18,33.36,33.18,1675600.0,55773467.0,09:32:06,002709
2026-09-18 09:32:25,新浪,sz002837,英维克,62.11,0.36,0.583,62.03,62.11,61.75,62.53,62.86,62.01,2247740.0,140280248.0,09:32:03,002837
2026-09-18 09:32:25,新浪,sz300260,新莱应材,60.49,0.19,0.315,60.43,60.49,60.3,61.76,61.76,60.32,1152714.0,70322008.0,09:32:12,300260
2026-09-18 09:32:25,新浪,sz300274,阳光电源,86.1,1.43,1.689,86.06,86.1,84.67,85.5,86.28,85.01,3279373.0,281168442.0,09:32:03,300274
2026-09-18 09:32:25,新浪,sz300394,天孚通信,279.7,2.05,0.738,279.52,279.7,277.65,283.67,283.68,279.29,3811083.0,1074500689.0,09:32:12,300394
2026-09-18 09:32:25,新浪,sz300395,菲利华,96.2,0.25,0.261,96.18,96.2,95.95,98.44,98.82,96.18,1660892.0,162051227.0,09:32:12,300395
2026-09-18 09:32:25,新浪,sz300475,香农芯创,169.2,5.17,3.152,169.2,169.28,164.03,168.69,170.88,168.69,2213848.0,375648079.0,09:32:12,300475
2026-09-18 09:32:25,新浪,sz300499,高澜股份,38.12,-0.14,-0.366,38.12,38.28,38.26,39.1,39.12,38.0,3470592.0,134266992.0,09:32:12,300499
2026-09-18 09:32:25,新浪,sz300502,新易盛,433.71,9.37,2.208,433.7,434.39,424.34,435.01,440.4,433.0,3332556.0,1454404128.0,09:32:12,300502
2026-09-18 09:32:25,新浪,sz300570,太辰光,233.1,17.12,7.927,233.03,233.2,215.98,223.77,234.0,222.97,4136055.0,945981726.0,09:32:09,300570
2026-09-18 09:32:25,新浪,sz300602,飞荣达,38.82,0.37,0.962,38.81,38.83,38.45,39.1,39.22,38.71,899600.0,35036945.0,09:32:09,300602
2026-09-18 09:32:25,新浪,sz300666,江丰电子,252.52,3.13,1.255,252.52,252.65,249.39,254.56,255.1,252.11,709132.0,180010117.0,09:32:06,300666
2026-09-18 09:32:25,新浪,sz301308,江波龙,342.06,6.97,2.08,342.05,342.06,335.09,342.26,343.68,340.01,948150.0,324631260.0,09:32:18,301308
